episode_id,t,obs_grip,act_grip,single_frame_delta,chunk32_delta_at_t
10,117,0.027934,0.023344,-0.004590,0.043732
10,118,0.027934,0.023344,-0.004590,0.057479
10,119,0.027934,0.023369,-0.004564,0.054267
10,120,0.027934,0.023601,-0.004333,0.054164
10,121,0.027934,0.023601,-0.004333,0.054164
10,122,0.027934,0.023601,-0.004333,0.054164
10,123,0.027934,0.023601,-0.004333,0.054139
10,124,0.027934,0.023601,-0.004333,0.054139
10,125,0.027940,0.023601,-0.004340,0.054061
10,126,0.027940,0.023601,-0.004340,0.051980
10,127,0.027934,0.023601,-0.004333,0.047663
10,128,0.027940,0.023601,-0.004340,0.036152
10,129,0.027940,0.023601,-0.004340,0.018680
10,130,0.027940,0.023601,-0.004340,-0.003392
10,131,0.027940,0.023601,-0.004340,-0.022534
10,132,0.027934,0.023601,-0.004333,-0.024564
10,133,0.027934,0.023575,-0.004359,-0.025129
10,134,0.027934,0.023601,-0.004333,-0.025746
10,135,0.027940,0.023575,-0.004366,-0.025720
10,136,0.027940,0.023601,-0.004340,-0.025746
10,137,0.027940,0.023601,-0.004340,-0.025746
10,138,0.027934,0.023601,-0.004333,-0.025746
10,139,0.027940,0.023575,-0.004366,-0.025720
10,140,0.027940,0.023575,-0.004366,-0.025720
10,141,0.027934,0.023575,-0.004359,-0.025720
10,142,0.027940,0.023575,-0.004366,-0.025720
10,143,0.027934,0.023575,-0.004359,-0.025720
10,144,0.027940,0.023575,-0.004366,-0.025720
10,145,0.027940,0.023857,-0.004083,-0.026003
10,146,0.027934,0.031617,0.003684,-0.033763
10,147,0.027934,0.052122,0.024188,-0.054267
10,148,0.027954,0.067076,0.039122,-0.069221
10,149,0.028741,0.080822,0.052081,-0.082968
10,150,0.031591,0.077636,0.046045,-0.079782
10,151,0.036356,0.077765,0.041409,-0.079910
10,152,0.040354,0.077765,0.037411,-0.079910
10,153,0.047175,0.077765,0.030590,-0.079910
10,154,0.054743,0.077739,0.022996,-0.079885
10,155,0.061917,0.077739,0.015822,nan
10,156,0.066836,0.077662,0.010826,nan
10,157,0.069279,0.075581,0.006302,nan
10,158,0.071882,0.071264,-0.000618,nan
10,159,0.073483,0.059753,-0.013730,nan
10,160,0.073964,0.042280,-0.031683,nan
10,161,0.073123,0.020209,-0.052914,nan
10,162,0.071174,0.001066,-0.070108,nan
10,163,0.066536,-0.000964,-0.067499,nan
10,164,0.060469,-0.001555,-0.062024,nan
10,165,0.053408,-0.002146,-0.055554,nan
10,166,0.045673,-0.002146,-0.047819,nan
10,167,0.040280,-0.002146,-0.042426,nan
10,168,0.031938,-0.002146,-0.034084,nan
10,169,0.023382,-0.002146,-0.025528,nan
10,170,0.015801,-0.002146,-0.017946,nan
10,171,0.010748,-0.002146,-0.012894,nan
10,172,0.008346,-0.002146,-0.010491,nan
10,173,0.005756,-0.002146,-0.007902,nan
10,174,0.004028,-0.002146,-0.006173,nan
10,175,0.002886,-0.002146,-0.005032,nan
10,176,0.002139,-0.002146,-0.004285,nan
10,177,0.001759,-0.002146,-0.003904,nan
10,178,0.001412,-0.002146,-0.003557,nan
10,179,0.001318,-0.002146,-0.003464,nan
10,180,0.001318,-0.002146,-0.003464,nan
10,181,0.001311,-0.002146,-0.003457,nan
