k,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,+0.102999,+0.7339,+0.102999,+0.000000,0.000000,0
1,+0.153354,+1.1199,+0.153354,+0.000000,0.000000,0
2,+0.208668,+1.5439,+0.202945,+0.005723,0.005723,1
3,+0.268559,+2.0029,+0.202945,+0.065614,0.065614,1
4,+0.331120,+2.4825,+0.202945,+0.128176,0.128176,1
5,+0.373465,+2.8070,+0.202945,+0.170520,0.170520,1
6,+0.438697,+3.3070,+0.202945,+0.235752,0.235752,1
7,+0.503166,+3.8012,+0.202945,+0.300221,0.300221,1
8,+0.564202,+4.2690,+0.202945,+0.361258,0.361258,1
9,+0.632105,+4.7895,+0.202945,+0.429160,0.429160,1
10,+0.677882,+5.1404,+0.202945,+0.474937,0.474937,1
11,+0.742352,+5.6345,+0.202945,+0.539407,0.539407,1
12,+0.808347,+6.1404,+0.202945,+0.605402,0.605402,1
13,+0.871290,+6.6228,+0.202945,+0.668345,0.668345,1
14,+0.930037,+7.0731,+0.202945,+0.727093,0.727093,1
15,+0.966660,+7.3538,+0.202945,+0.763715,0.763715,1
16,+1.019302,+7.7573,+0.202945,+0.816358,0.816358,1
17,+1.070802,+8.1521,+0.202945,+0.867857,0.867857,1
18,+1.122683,+8.5497,+0.202945,+0.919738,0.919738,1
19,+1.176089,+8.9591,+0.202945,+0.973145,0.973145,1
20,+1.227207,+9.3509,+0.202945,+1.024262,1.024262,1
21,+1.261158,+9.6111,+0.202945,+1.058213,1.058213,1
22,+1.313420,+10.0117,+0.202945,+1.110476,1.110476,1
23,+1.362249,+10.3860,+0.202945,+1.159305,1.159305,1
24,+1.409171,+10.7456,+0.202945,+1.206226,1.206226,1
25,+1.453803,+11.0877,+0.202945,+1.250858,1.250858,1
26,+1.480888,+11.2953,+0.202945,+1.277944,1.277944,1
27,+1.522470,+11.6140,+0.202945,+1.319525,1.319525,1
28,+1.560616,+11.9064,+0.202945,+1.357672,1.357672,1
29,+1.599527,+12.2047,+0.202945,+1.396583,1.396583,1
30,+1.627756,+12.4211,+0.202945,+1.424811,1.424811,1
31,+1.652171,+12.6082,+0.202945,+1.449226,1.449226,1
