k,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,+0.015984,+0.2573,+0.015984,+0.000000,0.000000,0
1,+0.021376,+0.4087,+0.021376,-0.000000,0.000000,0
2,+0.026950,+0.5650,+0.026950,-0.000000,0.000000,0
3,+0.034334,+0.7723,+0.034334,+0.000000,0.000000,0
4,+0.042129,+0.9910,+0.042129,+0.000000,0.000000,0
5,+0.047665,+1.1463,+0.047665,+0.000000,0.000000,0
6,+0.056297,+1.3886,+0.056297,+0.000000,0.000000,0
7,+0.066240,+1.6676,+0.060268,+0.005972,0.005972,1
8,+0.075941,+1.9398,+0.060268,+0.015673,0.015673,1
9,+0.086151,+2.2263,+0.060268,+0.025883,0.025883,1
10,+0.093289,+2.4266,+0.060268,+0.033021,0.033021,1
11,+0.104744,+2.7480,+0.060268,+0.044476,0.044476,1
12,+0.116907,+3.0894,+0.060268,+0.056639,0.056639,1
13,+0.129110,+3.4318,+0.060268,+0.068842,0.068842,1
14,+0.143308,+3.8302,+0.060268,+0.083041,0.083041,1
15,+0.153384,+4.1129,+0.060268,+0.093116,0.093116,1
16,+0.169969,+4.5783,+0.060268,+0.109701,0.109701,1
17,+0.187876,+5.0808,+0.060268,+0.127608,0.127608,1
18,+0.205187,+5.5666,+0.060268,+0.144919,0.144919,1
19,+0.222267,+6.0459,+0.060268,+0.161999,0.161999,1
20,+0.238284,+6.4954,+0.060268,+0.178016,0.178016,1
21,+0.248756,+6.7892,+0.060268,+0.188488,0.188488,1
22,+0.264502,+7.2311,+0.060268,+0.204234,0.204234,1
23,+0.280463,+7.6790,+0.060268,+0.220195,0.220195,1
24,+0.296589,+8.1314,+0.060268,+0.236321,0.236321,1
25,+0.312572,+8.5800,+0.060268,+0.252304,0.252304,1
26,+0.323067,+8.8745,+0.060268,+0.262799,0.262799,1
27,+0.336992,+9.2652,+0.060268,+0.276724,0.276724,1
28,+0.347344,+9.5557,+0.060268,+0.287076,0.287076,1
29,+0.353839,+9.7380,+0.060268,+0.293571,0.293571,1
30,+0.355686,+9.7898,+0.060268,+0.295418,0.295418,1
31,+0.354759,+9.7638,+0.060268,+0.294492,0.294492,1
