k,offset,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,0,-0.182727,-1.4942,-0.182727,+0.000000,0.000000,0
1,1,-0.255589,-1.6065,-0.237565,-0.018024,0.018024,1
2,2,-0.326162,-1.6685,-0.291161,-0.035001,0.035001,1
3,3,-0.392539,-1.6904,-0.345616,-0.046923,0.046923,1
4,4,-0.455101,-1.6985,-0.398615,-0.056486,0.056486,1
5,5,-0.508888,-1.6765,-0.451954,-0.056935,0.056935,1
6,6,-0.541314,-1.6028,-0.504284,-0.037030,0.037030,1
7,7,-0.586710,-1.5731,-0.557718,-0.028992,0.028992,1
8,8,-0.623331,-1.5356,-0.607938,-0.015393,0.015393,1
9,9,-0.654613,-1.4954,-0.654613,+0.000000,0.000000,0
10,10,-0.679408,-1.4426,-0.679408,+0.000000,0.000000,0
11,11,-0.696193,-1.3845,-0.696193,+0.000000,0.000000,0
12,12,-0.725185,-1.3570,-0.725185,+0.000000,0.000000,0
13,13,-0.751888,-1.3301,-0.751888,+0.000000,0.000000,0
14,14,-0.776303,-1.3015,-0.776303,+0.000000,0.000000,0
15,15,-0.800336,-1.2794,-0.800336,+0.000000,0.000000,0
16,16,-0.812924,-1.2417,-0.812924,+0.000000,0.000000,0
17,17,-0.831617,-1.2192,-0.831617,+0.000000,0.000000,0
18,18,-0.850691,-1.1992,-0.850691,+0.000000,0.000000,0
19,19,-0.868238,-1.1754,-0.868238,-0.000000,0.000000,0
20,20,-0.888457,-1.1584,-0.888457,+0.000000,0.000000,0
21,21,-0.910583,-1.1453,-0.910583,+0.000000,0.000000,0
22,22,-0.925078,-1.1284,-0.925078,+0.000000,0.000000,0
23,23,-0.949492,-1.1212,-0.949493,+0.000000,0.000000,0
24,24,-0.973907,-1.1168,-0.973907,+0.000000,0.000000,0
25,25,-0.999084,-1.1120,-0.999084,+0.000000,0.000000,0
26,26,-1.025788,-1.1112,-1.025788,+0.000000,0.000000,0
27,27,-1.043336,-1.1008,-1.043336,+0.000000,0.000000,0
28,28,-1.071183,-1.1034,-1.071183,+0.000000,0.000000,0
29,29,-1.103991,-1.1072,-1.103991,+0.000000,0.000000,0
30,30,-1.140231,-1.1156,-1.140231,+0.000000,0.000000,0
31,31,-1.177615,-1.1245,-1.177615,+0.000000,0.000000,0
