k,offset,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,0,-0.020589,-0.8296,-0.020589,+0.000000,0.000000,0
1,1,-0.026110,-0.8340,-0.026110,+0.000000,0.000000,0
2,2,-0.034074,-0.8816,-0.034074,+0.000000,0.000000,0
3,3,-0.041257,-0.9069,-0.041257,+0.000000,0.000000,0
4,4,-0.049812,-0.9499,-0.049812,-0.000000,0.000000,0
5,5,-0.058667,-0.9910,-0.058667,+0.000000,0.000000,0
6,6,-0.067828,-1.0288,-0.067828,+0.000000,0.000000,0
7,7,-0.073556,-1.0251,-0.073556,+0.000000,0.000000,0
8,8,-0.082405,-1.0588,-0.082405,+0.000000,0.000000,0
9,9,-0.089738,-1.0751,-0.089738,+0.000000,0.000000,0
10,10,-0.096686,-1.0917,-0.096686,+0.000000,0.000000,0
11,11,-0.105509,-1.1194,-0.105509,+0.000000,0.000000,0
12,12,-0.111983,-1.1326,-0.111983,-0.000000,0.000000,0
13,13,-0.123170,-1.1791,-0.123170,+0.000000,0.000000,0
14,14,-0.134802,-1.2242,-0.134802,+0.000000,0.000000,0
15,15,-0.144985,-1.2575,-0.144985,+0.000000,0.000000,0
16,16,-0.153226,-1.2768,-0.153226,+0.000000,0.000000,0
17,17,-0.158112,-1.2749,-0.158112,+0.000000,0.000000,0
18,18,-0.164521,-1.2831,-0.164521,+0.000000,0.000000,0
19,19,-0.174687,-1.3153,-0.174687,+0.000000,0.000000,0
20,20,-0.177470,-1.3002,-0.177470,+0.000000,0.000000,0
21,21,-0.176990,-1.2697,-0.176990,-0.000000,0.000000,0
22,22,-0.180010,-1.2627,-0.180010,+0.000000,0.000000,0
23,23,-0.186518,-1.2721,-0.186518,-0.000000,0.000000,0
24,24,-0.199082,-1.3151,-0.199082,+0.000000,0.000000,0
25,25,-0.214434,-1.3718,-0.214434,+0.000000,0.000000,0
26,26,-0.228499,-1.4177,-0.228499,-0.000000,0.000000,0
27,27,-0.243235,-1.4681,-0.243235,+0.000000,0.000000,0
28,28,-0.252671,-1.4909,-0.252671,+0.000000,0.000000,0
29,29,-0.265198,-1.5292,-0.259310,-0.005888,0.005888,1
30,30,-0.276367,-1.5602,-0.264065,-0.012303,0.012303,1
31,31,-0.282472,-1.5673,-0.268568,-0.013904,0.013904,1
