k,gt_raw,gt_norm_unclamped,gt_norm_clamped,gt_round_trip,pred_norm,pred_unnorm,gap_norm,gap_model,total_gap
0,+0.138475,+1.1481,+1.1481,+0.138475,+0.7102,+0.077578,+0.000000,+0.060898,+0.060898
1,+0.185397,+1.4856,+1.4856,+0.185397,+0.9335,+0.108627,+0.000000,+0.076770,+0.076770
2,+0.233081,+1.8285,+1.5000,+0.187400,+1.2756,+0.156204,+0.045681,+0.031196,+0.076877
3,+0.280384,+2.1687,+1.5000,+0.187400,+1.4635,+0.182330,+0.092984,+0.005070,+0.098054
4,+0.326924,+2.5034,+1.5000,+0.187400,+1.4792,+0.184505,+0.139524,+0.002895,+0.142419
5,+0.357823,+2.7256,+1.5000,+0.187400,+1.4792,+0.184505,+0.170423,+0.002895,+0.173318
6,+0.404745,+3.0631,+1.5000,+0.187400,+1.4796,+0.184563,+0.217345,+0.002837,+0.220182
7,+0.449378,+3.3841,+1.5000,+0.187400,+1.4804,+0.184681,+0.261978,+0.002719,+0.264697
8,+0.494391,+3.7078,+1.5000,+0.187400,+1.4821,+0.184908,+0.306991,+0.002492,+0.309484
9,+0.537880,+4.0206,+1.5000,+0.187400,+1.4807,+0.184713,+0.350480,+0.002687,+0.353167
10,+0.566873,+4.2291,+1.5000,+0.187400,+1.4803,+0.184662,+0.379473,+0.002738,+0.382211
11,+0.611505,+4.5501,+1.5000,+0.187400,+1.4825,+0.184972,+0.424105,+0.002428,+0.426533
12,+0.657282,+4.8793,+1.5000,+0.187400,+1.4820,+0.184902,+0.469882,+0.002498,+0.472380
13,+0.703441,+5.2112,+1.5000,+0.187400,+1.4840,+0.185172,+0.516041,+0.002228,+0.518268
14,+0.751507,+5.5569,+1.5000,+0.187400,+1.4801,+0.184631,+0.564107,+0.002770,+0.566876
15,+0.783932,+5.7901,+1.5000,+0.187400,+1.4803,+0.184662,+0.596532,+0.002738,+0.599269
16,+0.833905,+6.1495,+1.5000,+0.187400,+1.4817,+0.184853,+0.646505,+0.002547,+0.649053
17,+0.886930,+6.5309,+1.5000,+0.187400,+1.4869,+0.185576,+0.699530,+0.001824,+0.701354
18,+0.942245,+6.9287,+1.5000,+0.187400,+1.4849,+0.185296,+0.754844,+0.002104,+0.756949
19,+0.998703,+7.3347,+1.5000,+0.187400,+1.4874,+0.185653,+0.811303,+0.001747,+0.813050
20,+1.053253,+7.7270,+1.5000,+0.187400,+1.4845,+0.185239,+0.865853,+0.002161,+0.868014
21,+1.089494,+7.9876,+1.5000,+0.187400,+1.4891,+0.185882,+0.902094,+0.001518,+0.903612
22,+1.145189,+8.3882,+1.5000,+0.187400,+1.4815,+0.184829,+0.957789,+0.002571,+0.960361
23,+1.194781,+8.7448,+1.5000,+0.187400,+1.4832,+0.185057,+1.007381,+0.002343,+1.009724
24,+1.236362,+9.0439,+1.5000,+0.187400,+1.4835,+0.185107,+1.048961,+0.002293,+1.051254
25,+1.271839,+9.2990,+1.5000,+0.187400,+1.4837,+0.185127,+1.084439,+0.002273,+1.086712
26,+1.292820,+9.4499,+1.5000,+0.187400,+1.4849,+0.185295,+1.105420,+0.002105,+1.107525
27,+1.324483,+9.6776,+1.5000,+0.187400,+1.4894,+0.185927,+1.137083,+0.001473,+1.138556
28,+1.354238,+9.8916,+1.5000,+0.187400,+1.4871,+0.185610,+1.166837,+0.001790,+1.168627
29,+1.379416,+10.0727,+1.5000,+0.187400,+1.4917,+0.186242,+1.192015,+0.001158,+1.193173
30,+1.395056,+10.1852,+1.5000,+0.187400,+1.4960,+0.186841,+1.207656,+0.000559,+1.208215
31,+1.402685,+10.2400,+1.5000,+0.187400,+1.4948,+0.186671,+1.215285,+0.000729,+1.216014
